month,Price in Naira
2019-01,3054830.0
2019-02,3175230.0
2019-03,1559300.0
2019-04,4430530.0
2019-05,1132820.0
2019-06,1104620.0
2019-07,867330.0
2019-08,1542025.0
2019-09,2772840.0
2019-10,1700640.0
2019-11,9815203.25
2019-12,15021696.9
2020-01,12084702.8
2020-02,1058215.0
2020-03,17617219.05
2020-04,9267166.35
2020-05,492778.0
2020-06,1637560.0
2020-07,1431988.4
2020-08,835970.8
2020-09,884010.8
2020-10,1001284.0
2020-11,450094.0
2020-12,675444.4
2021-01,1159073.4
2021-02,1557608.0
2021-03,870123.8
2021-04,665170.0
2021-05,576193.2
2021-06,2098623.0
2021-07,1388816.4
2021-08,1036107.6
2021-09,906338.4
2021-10,947104.8
2021-11,998540.4
2021-12,1372752.0
2022-01,525600.0
2022-04,54000.0
2022-10,62232.0
2022-11,7631.6
2022-12,71965.0
