week,Price in Naira
1,4046623.9
2,4401049.1
3,3193240.3
4,3881008.1
5,3818108.4
6,1340695.6
7,837314.4
8,1331789.6
9,1548859.9
10,3491768.1
11,3751433.4
12,6174466.9
13,4767712.55
14,4338288.43
15,5057429.5
16,3127040.42
17,2673132.0
18,567908.0
19,378154.0
20,439017.2
21,462586.0
22,711545.0
23,564980.0
24,1532226.4
25,1768777.2
26,964250.4
27,1162326.8
28,669640.8
29,912132.8
30,404606.0
31,651644.4
32,827012.6
33,621426.8
34,960961.4
35,970871.0
36,808866.0
37,752718.0
38,825892.8
39,1354030.0
40,1646218.0
41,613932.0
42,865706.0
43,557200.8
44,1485267.1
45,2319581.6
46,2436638.6
47,2388391.85
48,3843158.1
49,3252737.1
50,3675763.4
51,4476025.3
52,4201476.3
53,57748.0
