week,total sales
2018-12-31/2019-01-06,54
2019-01-07/2019-01-13,104
2019-01-14/2019-01-20,39
2019-01-21/2019-01-27,95
2019-01-28/2019-02-03,292
2019-02-04/2019-02-10,67
2019-02-11/2019-02-17,49
2019-02-18/2019-02-24,105
2019-02-25/2019-03-03,93
2019-03-04/2019-03-10,41
2019-03-11/2019-03-17,63
2019-03-18/2019-03-24,54
2019-03-25/2019-03-31,119
2019-04-01/2019-04-07,54
2019-04-08/2019-04-14,125
2019-04-15/2019-04-21,137
2019-04-22/2019-04-28,311
2019-04-29/2019-05-05,65
2019-05-06/2019-05-12,53
2019-05-13/2019-05-19,63
2019-05-20/2019-05-26,51
2019-05-27/2019-06-02,65
2019-06-03/2019-06-09,47
2019-06-10/2019-06-16,86
2019-06-17/2019-06-23,43
2019-06-24/2019-06-30,17
2019-07-01/2019-07-07,63
2019-07-08/2019-07-14,35
2019-07-15/2019-07-21,34
2019-07-22/2019-07-28,23
2019-07-29/2019-08-04,57
2019-08-05/2019-08-11,84
2019-08-12/2019-08-18,57
2019-08-19/2019-08-25,87
2019-08-26/2019-09-01,164
2019-09-02/2019-09-08,95
2019-09-09/2019-09-15,81
2019-09-16/2019-09-22,49
2019-09-23/2019-09-29,138
2019-09-30/2019-10-06,165
2019-10-07/2019-10-13,68
2019-10-14/2019-10-20,61
2019-10-21/2019-10-27,76
2019-10-28/2019-11-03,1416
2019-11-04/2019-11-10,2367
2019-11-11/2019-11-17,2677
2019-11-18/2019-11-24,2492
2019-11-25/2019-12-01,3427
2019-12-02/2019-12-08,3647
2019-12-09/2019-12-15,3847
2019-12-16/2019-12-22,3789
2019-12-23/2019-12-29,4230
2019-12-30/2020-01-05,4364
2020-01-06/2020-01-12,4234
2020-01-13/2020-01-19,3592
2020-01-20/2020-01-26,4131
2020-01-27/2020-02-02,1067
2020-02-03/2020-02-09,23
2020-02-10/2020-02-16,37
2020-02-17/2020-02-23,75
2020-02-24/2020-03-01,619
2020-03-02/2020-03-08,5095
2020-03-09/2020-03-15,5653
2020-03-16/2020-03-22,8878
2020-03-23/2020-03-29,5526
2020-03-30/2020-04-05,5882
2020-04-06/2020-04-12,6354
2020-04-13/2020-04-19,2494
2020-04-20/2020-04-26,17
2020-04-27/2020-05-03,16
2020-05-04/2020-05-10,7
2020-05-11/2020-05-17,38
2020-05-18/2020-05-24,32
2020-05-25/2020-05-31,63
2020-06-01/2020-06-07,57
2020-06-08/2020-06-14,126
2020-06-15/2020-06-21,134
2020-06-22/2020-06-28,106
2020-06-29/2020-07-05,106
2020-07-06/2020-07-12,63
2020-07-13/2020-07-19,79
2020-07-20/2020-07-26,77
2020-07-27/2020-08-02,103
2020-08-03/2020-08-09,83
2020-08-10/2020-08-16,64
2020-08-17/2020-08-23,52
2020-08-24/2020-08-30,38
2020-08-31/2020-09-06,92
2020-09-07/2020-09-13,66
2020-09-14/2020-09-20,107
2020-09-21/2020-09-27,54
2020-09-28/2020-10-04,69
2020-10-05/2020-10-11,30
2020-10-12/2020-10-18,112
2020-10-19/2020-10-25,5
2020-10-26/2020-11-01,52
2020-11-02/2020-11-08,20
2020-11-09/2020-11-15,37
2020-11-16/2020-11-22,46
2020-11-23/2020-11-29,43
2020-11-30/2020-12-06,45
2020-12-07/2020-12-13,25
2020-12-14/2020-12-20,35
2020-12-21/2020-12-27,12
2020-12-28/2021-01-03,9
2021-01-04/2021-01-10,82
2021-01-11/2021-01-17,60
2021-01-18/2021-01-24,46
2021-01-25/2021-01-31,56
2021-02-01/2021-02-07,53
2021-02-08/2021-02-14,149
2021-02-15/2021-02-21,81
2021-02-22/2021-02-28,64
2021-03-01/2021-03-07,126
2021-03-08/2021-03-14,87
2021-03-15/2021-03-21,56
2021-03-22/2021-03-28,19
2021-03-29/2021-04-04,24
2021-04-05/2021-04-11,61
2021-04-12/2021-04-18,42
2021-04-19/2021-04-25,48
2021-04-26/2021-05-02,47
2021-05-03/2021-05-09,44
2021-05-10/2021-05-16,26
2021-05-17/2021-05-23,35
2021-05-24/2021-05-30,31
2021-05-31/2021-06-06,33
2021-06-07/2021-06-13,34
2021-06-14/2021-06-20,78
2021-06-21/2021-06-27,136
2021-06-28/2021-07-04,62
2021-07-05/2021-07-11,175
2021-07-12/2021-07-18,36
2021-07-19/2021-07-25,83
2021-07-26/2021-08-01,3
2021-08-02/2021-08-08,45
2021-08-09/2021-08-15,115
2021-08-16/2021-08-22,64
2021-08-23/2021-08-29,57
2021-08-30/2021-09-05,142
2021-09-06/2021-09-12,77
2021-09-13/2021-09-19,36
2021-09-20/2021-09-26,27
2021-09-27/2021-10-03,22
2021-10-04/2021-10-10,49
2021-10-11/2021-10-17,29
2021-10-18/2021-10-24,63
2021-10-25/2021-10-31,119
2021-11-01/2021-11-07,80
2021-11-08/2021-11-14,86
2021-11-15/2021-11-21,39
2021-11-22/2021-11-28,43
2021-11-29/2021-12-05,52
2021-12-06/2021-12-12,31
2021-12-13/2021-12-19,8
2021-12-20/2021-12-26,35
2021-12-27/2022-01-02,35
2022-01-03/2022-01-09,15
2022-01-10/2022-01-16,24
2022-01-17/2022-01-23,10
2022-04-04/2022-04-10,3
2022-10-24/2022-10-30,18
2022-11-07/2022-11-13,4
2022-11-14/2022-11-20,4
2022-11-28/2022-12-04,2
2022-12-12/2022-12-18,5
2022-12-19/2022-12-25,3
